,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ïΩãœ,ç≈ïpíl,íÜâõíl,ïWèÄïŒç∑
1.45387E+12,blue,yellow,0.048752834,8.287981859,blue,cyan,0.046326531,7.875510204,blue,magenta,0.053741497,9.136054422,yellow,blue,0.048752834,8.287981859,yellow,cyan,0.039433107,6.703628118,yellow,magenta,0.059727891,10.1537415,cyan,blue,0.046326531,7.875510204,cyan,yellow,0.039433107,6.703628118,cyan,magenta,0.047800454,8.126077098,magenta,blue,0.053741497,9.136054422,magenta,yellow,0.059727891,10.1537415,magenta,cyan,0.047800454,8.126077098,9.794379163,4.956965766,-0.508143645,-1.206153274,3.960172357,2.876483483,8.009175053,9.924572369,6.461239992,B-Y,11.71889953,11.5414966,11.55306122,1.24793883
1.45387E+12,blue,yellow,0.067732426,11.51451247,blue,cyan,0.046258503,7.863945578,blue,magenta,0.034829932,5.921088435,yellow,blue,0.067732426,11.51451247,yellow,cyan,0.046507937,7.906349206,yellow,magenta,0.040612245,6.904081633,cyan,blue,0.046258503,7.863945578,cyan,yellow,0.046507937,7.906349206,cyan,magenta,0.028752834,4.887981859,magenta,blue,0.034829932,5.921088435,magenta,yellow,0.040612245,6.904081633,magenta,cyan,0.028752834,4.887981859,1.108831422,10.71076999,0.200239179,5.315888203,10.82409831,3.351334323,3.119585701,7.845171109,4.87019297,B-C,7.767573696,7.89478458,7.883219955,0.583510141
1.45387E+12,blue,yellow,0.067687075,11.50680272,blue,cyan,0.046417234,7.890929705,blue,magenta,0.03462585,5.886394558,yellow,blue,0.067687075,11.50680272,yellow,cyan,0.041428571,7.042857143,yellow,magenta,0.040657596,6.911791383,cyan,blue,0.046417234,7.890929705,cyan,yellow,0.041428571,7.042857143,cyan,magenta,0.028684807,4.876417234,magenta,blue,0.03462585,5.886394558,magenta,yellow,0.040657596,6.911791383,magenta,cyan,0.028684807,4.876417234,1.074370247,2.92345797,-3.029485041,5.319093368,8.679198791,8.522124987,2.45412939,3.58680581,2.415487129,B-M,6.72675737,6.715192744,6.722902494,0.774180135
1.45387E+12,blue,yellow,0.06845805,11.63786848,blue,cyan,0.046349206,7.879365079,blue,magenta,0.039478458,6.711337868,yellow,blue,0.06845805,11.63786848,yellow,cyan,0.041927438,7.127664399,yellow,magenta,0.044897959,7.632653061,cyan,blue,0.046349206,7.879365079,cyan,yellow,0.041927438,7.127664399,cyan,magenta,0.028730159,4.884126984,magenta,blue,0.039478458,6.711337868,magenta,yellow,0.044897959,7.632653061,magenta,cyan,0.028730159,4.884126984,4.145097044,6.581079005,12.69943351,5.63732792,0.163371704,2.72172365,6.289717436,7.939458908,6.746825244,Y-B,11.71889953,11.5414966,11.55306122,1.24793883
1.45387E+12,blue,yellow,0.067959184,11.55306122,blue,cyan,0.046394558,7.88707483,blue,magenta,0.039410431,6.699773243,yellow,blue,0.067959184,11.55306122,yellow,cyan,0.025079365,4.263492063,yellow,magenta,0.04952381,8.419047619,cyan,blue,0.046394558,7.88707483,cyan,yellow,0.025079365,4.263492063,cyan,magenta,0.028707483,4.880272109,magenta,blue,0.039410431,6.699773243,magenta,yellow,0.04952381,8.419047619,magenta,cyan,0.028707483,4.880272109,0.117161424,9.460500534,7.954540518,5.053405326,-2.81843338,5.490573921,1.259797997,3.209635589,5.481341816,Y-C,6.564537924,6.942630385,6.985034014,1.067679838
1.45387E+12,blue,yellow,0.067709751,11.5106576,blue,cyan,0.046349206,7.879365079,blue,magenta,0.039478458,6.711337868,yellow,blue,0.067709751,11.5106576,yellow,cyan,0.039954649,6.792290249,yellow,magenta,0.040408163,6.869387755,cyan,blue,0.046349206,7.879365079,cyan,yellow,0.039954649,6.792290249,cyan,magenta,0.028752834,4.887981859,magenta,blue,0.039478458,6.711337868,magenta,yellow,0.040408163,6.869387755,magenta,cyan,0.028752834,4.887981859,2.360088421,2.154481621,0.214658297,12.26788283,7.054590367,5.69795113,6.974842836,7.980626659,2.381598346,Y-M,7.300425749,6.911791383,7.015873016,1.283308926
1.45387E+12,blue,yellow,0.076213152,12.95623583,blue,cyan,0.046417234,7.890929705,blue,magenta,0.039387755,6.695918367,yellow,blue,0.076213152,12.95623583,yellow,cyan,0.022131519,3.762358277,yellow,magenta,0.040544218,6.892517007,cyan,blue,0.046417234,7.890929705,cyan,yellow,0.022131519,3.762358277,cyan,magenta,0.028752834,4.887981859,magenta,blue,0.039387755,6.695918367,magenta,yellow,0.040544218,6.892517007,magenta,cyan,0.028752834,4.887981859,1.634389737,4.897566911,11.09636406,7.462464374,-1.010703482,7.550757572,3.156854897,3.038815752,4.542028296,C-B,7.767573696,7.89478458,7.883219955,0.583510141
1.45387E+12,blue,yellow,0.067641723,11.49909297,blue,cyan,0.046349206,7.879365079,blue,magenta,0.034512472,5.867120181,yellow,blue,0.067641723,11.49909297,yellow,cyan,0.028820862,4.899546485,yellow,magenta,0.049433107,8.403628118,cyan,blue,0.046349206,7.879365079,cyan,yellow,0.028820862,4.899546485,cyan,magenta,0.028752834,4.887981859,magenta,blue,0.034512472,5.867120181,magenta,yellow,0.049433107,8.403628118,magenta,cyan,0.028752834,4.887981859,1.093258525,-0.317199829,3.517051262,11.22144646,6.603595702,6.831598386,5.619950081,4.981300032,1.048984976,C-Y,6.564537924,6.942630385,6.985034014,1.067679838
1.45387E+12,blue,yellow,0.067755102,11.51836735,blue,cyan,0.046371882,7.883219955,blue,magenta,0.039614512,6.73446712,yellow,blue,0.067755102,11.51836735,yellow,cyan,0.040793651,6.934920635,yellow,magenta,0.049365079,8.392063492,cyan,blue,0.046371882,7.883219955,cyan,yellow,0.040793651,6.934920635,cyan,magenta,0.02877551,4.891836735,magenta,blue,0.039614512,6.73446712,magenta,yellow,0.049365079,8.392063492,magenta,cyan,0.02877551,4.891836735,7.249916618,4.781010516,-1.668910159,4.850421712,10.88937663,4.544340155,5.102319179,9.131776429,3.555806063,C-M,4.771470221,4.891836735,4.891836735,0.664454607
1.45387E+12,blue,yellow,0.067823129,11.52993197,blue,cyan,0.046326531,7.875510204,blue,magenta,0.039501134,6.715192744,yellow,blue,0.067823129,11.52993197,yellow,cyan,0.040839002,6.942630385,yellow,magenta,0.040634921,6.907936508,cyan,blue,0.046326531,7.875510204,cyan,yellow,0.040839002,6.942630385,cyan,magenta,0.028752834,4.887981859,magenta,blue,0.039501134,6.715192744,magenta,yellow,0.040634921,6.907936508,magenta,cyan,0.028752834,4.887981859,2.525366158,1.480264004,0.084274207,5.42228254,11.67745349,0.028398824,7.612172587,4.625245524,5.391710805,M-B,6.72675737,6.715192744,6.722902494,0.774180135
1.45387E+12,blue,yellow,0.068049887,11.56848073,blue,cyan,0.046394558,7.88707483,blue,magenta,0.03968254,6.746031746,yellow,blue,0.068049887,11.56848073,yellow,cyan,0.044036281,7.4861678,yellow,magenta,0.025079365,4.263492063,cyan,blue,0.046394558,7.88707483,cyan,yellow,0.044036281,7.4861678,cyan,magenta,0.018707483,3.180272109,magenta,blue,0.03968254,6.746031746,magenta,yellow,0.025079365,4.263492063,magenta,cyan,0.018707483,3.180272109,1.013310684,-1.82408701,6.110213297,7.383572387,-0.477437209,5.916491333,6.634385527,4.747201554,3.416685961,M-Y,7.300425749,6.911791383,7.015873016,1.283308926
1.45387E+12,blue,yellow,0.06829932,11.61088435,blue,cyan,0.045918367,7.806122449,blue,magenta,0.039478458,6.711337868,yellow,blue,0.06829932,11.61088435,yellow,cyan,0.045283447,7.698185941,yellow,magenta,0.039954649,6.792290249,cyan,blue,0.045918367,7.806122449,cyan,yellow,0.045283447,7.698185941,cyan,magenta,0.028798186,4.89569161,magenta,blue,0.039478458,6.711337868,magenta,yellow,0.039954649,6.792290249,magenta,cyan,0.028798186,4.89569161,2.373160498,-1.971558106,7.78945941,8.222667393,0.989602343,5.789208832,8.261133317,2.961246148,4.215467319,M-C,4.771470221,4.891836735,4.891836735,0.664454607
1.45387E+12,blue,yellow,0.06845805,11.63786848,blue,cyan,0.045873016,7.798412698,blue,magenta,0.039637188,6.738321995,yellow,blue,0.06845805,11.63786848,yellow,cyan,0.04154195,7.062131519,yellow,magenta,0.049387755,8.395918367,cyan,blue,0.045873016,7.798412698,cyan,yellow,0.04154195,7.062131519,cyan,magenta,0.02877551,4.891836735,magenta,blue,0.039637188,6.738321995,magenta,yellow,0.049387755,8.395918367,magenta,cyan,0.02877551,4.891836735,5.816093304,10.12550118,2.179840431,-2.514011047,3.844676729,3.172053458,0.781551719,5.04416731,5.7968905,,,,,
1.45387E+12,blue,yellow,0.06845805,11.63786848,blue,cyan,0.046371882,7.883219955,blue,magenta,0.039546485,6.722902494,yellow,blue,0.06845805,11.63786848,yellow,cyan,0.046598639,7.921768707,yellow,magenta,0.045034014,7.655782313,cyan,blue,0.046371882,7.883219955,cyan,yellow,0.046598639,7.921768707,cyan,magenta,0.022743764,3.866439909,magenta,blue,0.039546485,6.722902494,magenta,yellow,0.045034014,7.655782313,magenta,cyan,0.022743764,3.866439909,3.454160628,3.504971655,-2.98616106,0.425219166,8.608278095,7.481359728,4.35261452,4.506506064,2.886816154,,,,,
1.45387E+12,blue,yellow,0.067777778,11.52222222,blue,cyan,0.046439909,7.89478458,blue,magenta,0.034761905,5.90952381,yellow,blue,0.067777778,11.52222222,yellow,cyan,0.039274376,6.676643991,yellow,magenta,0.030680272,5.215646259,cyan,blue,0.046439909,7.89478458,cyan,yellow,0.039274376,6.676643991,cyan,magenta,0.028752834,4.887981859,magenta,blue,0.034761905,5.90952381,magenta,yellow,0.030680272,5.215646259,magenta,cyan,0.028752834,4.887981859,0.115349761,12.36475424,6.694025618,1.813794115,2.434647439,4.663578809,8.485333093,6.883693896,4.147244195,,,,,
1.45387E+12,blue,yellow,0.068390023,11.62630385,blue,cyan,0.046371882,7.883219955,blue,magenta,0.039546485,6.722902494,yellow,blue,0.068390023,11.62630385,yellow,cyan,0.041972789,7.13537415,yellow,magenta,0.049297052,8.380498866,cyan,blue,0.046371882,7.883219955,cyan,yellow,0.041972789,7.13537415,cyan,magenta,0.02877551,4.891836735,magenta,blue,0.039546485,6.722902494,magenta,yellow,0.049297052,8.380498866,magenta,cyan,0.02877551,4.891836735,7.645032845,1.461560531,5.185638374,12.23307547,11.96445126,9.362629043,5.409760293,5.733093953,8.777438389,,,,,
1.45387E+12,blue,yellow,0.074852608,12.72494331,blue,cyan,0.045963719,7.8138322,blue,magenta,0.039478458,6.711337868,yellow,blue,0.074852608,12.72494331,yellow,cyan,0.037278912,6.337414966,yellow,magenta,0.049410431,8.399773243,cyan,blue,0.045963719,7.8138322,cyan,yellow,0.037278912,6.337414966,cyan,magenta,0.028730159,4.884126984,magenta,blue,0.039478458,6.711337868,magenta,yellow,0.049410431,8.399773243,magenta,cyan,0.028730159,4.884126984,1.005534523,8.126157117,10.38897424,1.934564919,-1.253202122,5.940080922,3.255491273,2.520350583,6.946916386,,,,,
1.45387E+12,blue,yellow,0.076122449,12.94081633,blue,cyan,0.046371882,7.883219955,blue,magenta,0.039501134,6.715192744,yellow,blue,0.076122449,12.94081633,yellow,cyan,0.040952381,6.961904762,yellow,magenta,0.02600907,4.42154195,cyan,blue,0.046371882,7.883219955,cyan,yellow,0.040952381,6.961904762,cyan,magenta,0.02877551,4.891836735,magenta,blue,0.039501134,6.715192744,magenta,yellow,0.02600907,4.42154195,magenta,cyan,0.02877551,4.891836735,2.306819522,9.329459848,9.991130059,0.671885519,1.274865962,7.660273774,2.214742409,3.856801817,5.140617149,,,,,
1.45387E+12,blue,yellow,0.068185941,11.59160998,blue,cyan,0.046462585,7.898639456,blue,magenta,0.03952381,6.719047619,yellow,blue,0.068185941,11.59160998,yellow,cyan,0.02893424,4.918820862,yellow,magenta,0.040294785,6.850113379,cyan,blue,0.046462585,7.898639456,cyan,yellow,0.02893424,4.918820862,cyan,magenta,0.02877551,4.891836735,magenta,blue,0.03952381,6.719047619,magenta,yellow,0.040294785,6.850113379,magenta,cyan,0.02877551,4.891836735,0.424170341,-2.281308605,6.189923581,9.546096491,4.969034042,4.984890763,3.661395105,3.889682855,8.553934457,,,,,
1.45387E+12,blue,yellow,0.075102041,12.76734694,blue,cyan,0.046394558,7.88707483,blue,magenta,0.038548753,6.553287982,yellow,blue,0.075102041,12.76734694,yellow,cyan,0.025056689,4.259637188,yellow,magenta,0.049546485,8.422902494,cyan,blue,0.046394558,7.88707483,cyan,yellow,0.025056689,4.259637188,cyan,magenta,0.028752834,4.887981859,magenta,blue,0.038548753,6.553287982,magenta,yellow,0.049546485,8.422902494,magenta,cyan,0.028752834,4.887981859,0.25834521,6.046962942,1.583322242,0.955894944,13.06896966,2.850863792,9.019344809,7.626251656,7.93980534,,,,,
1.45387E+12,blue,yellow,0.072131519,12.26235828,blue,cyan,0.050770975,8.63106576,blue,magenta,0.043786848,7.443764172,yellow,blue,0.072131519,12.26235828,yellow,cyan,0.04154195,7.062131519,yellow,magenta,0.040453515,6.877097506,cyan,blue,0.050770975,8.63106576,cyan,yellow,0.04154195,7.062131519,cyan,magenta,0.02877551,4.891836735,magenta,blue,0.043786848,7.443764172,magenta,yellow,0.040453515,6.877097506,magenta,cyan,0.02877551,4.891836735,2.65172174,1.643754099,1.068528363,11.74110685,9.220935321,4.804230472,8.961003014,7.449814367,4.675959981,,,,,
1.45387E+12,blue,yellow,0.04861678,8.264852608,blue,cyan,0.046507937,7.906349206,blue,magenta,0.039501134,6.715192744,yellow,blue,0.04861678,8.264852608,yellow,cyan,0.046326531,7.875510204,yellow,magenta,0.049365079,8.392063492,cyan,blue,0.046507937,7.906349206,cyan,yellow,0.046326531,7.875510204,cyan,magenta,0.028752834,4.887981859,magenta,blue,0.039501134,6.715192744,magenta,yellow,0.049365079,8.392063492,magenta,cyan,0.028752834,4.887981859,33.44867758,0.575777437,6.257794261,11.32262036,5.082736433,6.382750329,10.40118005,5.03956876,4.780879005,,,,,
1.45387E+12,blue,yellow,0.070022676,11.90385488,blue,cyan,0.037256236,6.333560091,blue,magenta,0.039569161,6.72675737,yellow,blue,0.070022676,11.90385488,yellow,cyan,0.033424036,5.682086168,yellow,magenta,0.040544218,6.892517007,cyan,blue,0.037256236,6.333560091,cyan,yellow,0.033424036,5.682086168,cyan,magenta,0.028027211,4.76462585,magenta,blue,0.039569161,6.72675737,magenta,yellow,0.040544218,6.892517007,magenta,cyan,0.028027211,4.76462585,0.023726382,0.507686165,-1.232192825,8.324115575,7.652517736,3.655774482,4.324477294,6.916335618,0.881229542,,,,,
